alpha_io a_wl_io bio_hum_cn b_wl_io dcatch_dlai_io dqcrit_io dz0v_dh_io f0_io fd_io g_area_io g_root_io g_wood_io gs_nvg_io hw_sw_io kaps_roth knl_io lai_max_io lai_min_io lma_io n_inorg_turnover nmass_io nr_io retran_l_io retran_r_io r_grow_io rootd_ft_io sigl_io sorp tleaf_of_io tlow_io tupp_io l_vg_soil
1.7214905596 0.5049350226 1.6392526319 1.1111658460 1.4734355425 1.9250140569 3.0029673904 0.7748117324 1.0217083887 1.5651089102 1.2122476396 0.1189533544 1.6590379990 0.3026569812 1.1472711677 1.9912786698 0.9990808295 1.8749264158 1.2246105884 5.3276237481 0.8896666877 0.5460789630 0.9857172001 1.3078953469 1.4502625131 2.3728598905 0.5190029628 0.3769777829 1.0868852249 1.0615806236 0.9012363437 0.2466258265
1.1248841713 1.3456266072 1.8440351481 1.1627613625 1.9505865650 1.3240631537 0.1244377096 0.9251462612 1.2878375112 1.3909180076 1.4016143784 0.0358124408 1.0698548686 0.0182015686 0.5297523298 1.1808094940 0.8188009780 2.7657183575 1.5653722178 7.9725553734 1.4867540293 0.9252051732 1.9324381907 2.0177381193 1.0881211209 1.3908480592 1.5076957463 0.5999569826 0.9105177254 1.0563896917 0.8452543027 0.2240479956
1.3945682384 1.9357889391 1.9109117295 1.1763402030 0.8481545913 1.7419450976 2.5764575154 0.8038150781 1.1298475037 1.0399805562 2.3451403148 1.5097671510 1.4273851740 0.3235124224 0.5157494270 1.6630978194 1.1512436003 0.4834748077 1.7218853081 2.8013917930 1.6102398765 0.5899625047 1.0082364523 1.5156761955 1.6633003448 1.2891115189 1.9026752433 0.9193573104 0.9062548220 0.9548015496 0.9645658246 0.5531736659
1.8893210384 1.1751341813 1.6275589304 1.7618216187 1.8812803057 0.7810184166 1.8312413904 0.9760802026 1.2676730951 1.5649780621 0.4777566413 0.8816631571 0.8394362582 1.4397949683 1.1610781173 2.4061883807 0.7069970046 2.8560747639 0.8562443347 3.8454051548 1.8348415858 1.5443140520 1.3843663797 2.4453713341 1.2880783746 2.3858758790 1.8875916919 1.6081219627 1.0154375088 1.0584139825 1.1167956445 0.3266155885
1.0967450086 1.8261357098 0.8563432680 1.0455299750 1.9505680449 1.2795147879 2.4575413299 1.0272195209 0.8454253197 0.9879576766 1.4985013776 1.8013247164 1.0244300660 0.4319320950 1.6220983143 0.7654760633 1.0429838674 1.2809189836 1.8417874301 7.6028421355 0.7629405809 1.7114723081 1.4154024214 2.7578716489 0.5170787927 2.6464238487 1.6833030425 0.6789339418 1.0436457917 1.0273342562 1.0948373120 0.4637810676
0.8599866033 1.3244278737 1.4109009244 0.8855041646 1.6305394280 1.6922296824 1.8408062757 1.0073041189 1.1167090849 0.6005799470 1.0478147375 1.0574476113 1.3750600154 0.5492341588 1.1572299451 0.7547120379 1.2487955161 0.9089799423 1.7869354465 0.1403551008 1.5041646684 0.9464844666 1.3203722405 0.0454251475 1.8463989258 1.3059869331 0.5861784496 1.3370903340 0.9228198224 1.0456916370 0.7834285434 0.5814722462
1.8670495861 0.7340559638 0.8846285298 1.3332488571 1.2956662054 1.6571916233 0.5903762121 1.0227927978 0.6455073308 0.9639302338 0.9833736291 1.6325470859 0.9623481566 1.4962329762 1.2114180155 0.5565400495 0.7388447072 0.8383746023 0.5187041328 4.9258161725 0.5658073934 1.2924238965 0.9893257224 1.1455276449 1.1176349175 0.1203754038 1.8679250606 1.5374412179 1.0678446425 0.9051731431 1.0337717504 0.7835934816
1.2010931635 1.0788648644 1.1768897765 1.0960888680 1.5447430575 1.9643850470 2.0951395442 0.9934550590 0.7059787221 1.7220757869 2.1438029277 0.1468280544 1.6478384160 0.8786948440 1.5055336104 1.0093814558 0.5116227628 1.7096538769 0.5050594150 1.5832097389 1.9137611159 1.6707556171 1.6955300577 3.3525065451 0.5757203391 0.9620003560 1.0991685538 1.2694322866 1.0036464748 1.0968604731 0.9338183529 0.3574620769
1.5142073920 1.7515674685 1.6055820407 1.5928119961 1.4231238664 1.5570425136 2.8077018583 0.9263354424 1.0056136367 0.5253320612 0.9179561973 1.7414146340 0.7373198860 1.7988521620 0.8560614582 0.7412358242 0.6371529155 0.7460396012 1.9665762403 6.0761279544 1.6833197879 0.9527590909 0.8088728259 3.6436779449 1.8345777758 2.4278977452 1.3444122452 1.7877218185 0.9425013666 0.9777522785 0.9749998330 0.1453741880
1.7126173425 0.9904868562 1.2884215222 1.7710499059 1.4231482981 1.1985167910 2.7781253745 0.9852730052 0.5275504667 1.5932218711 0.1980617611 1.2312577607 0.9124325444 0.7462875876 1.2667619651 0.7117941547 0.7103165099 2.4476566581 1.3177726697 4.4803174355 1.4256527882 1.0538763529 0.1193832449 4.8583451291 1.3833935811 0.9206212623 1.6406394873 1.9511825414 0.9632083086 1.0307592200 1.0961981721 0.2183774959
1.5510616050 1.3481706737 0.9098238766 0.8293291562 0.6753991293 0.9904887667 2.8454744034 1.0282218553 0.7669338823 0.7397008700 2.0554872626 0.0349420912 0.8175395703 1.9759106426 1.9474414585 0.6728487392 1.3426942236 1.8336908159 1.9271359592 1.5556579361 1.3510194814 1.1011714284 0.5735133149 1.4704898953 1.6729349846 2.6384789268 0.7029390208 0.8751765148 0.9703080458 1.0096003632 0.9341255467 0.0382230566
1.5475688645 0.7678679682 0.9346764377 1.0779582398 1.7958846822 0.8565329012 0.0595600852 0.7554217391 1.8313390196 1.2959156154 0.3568324555 1.6291808963 1.7492656886 0.3594119824 0.6227230538 1.6415652900 0.5075951211 1.2605705875 1.3064734822 3.0277439137 1.1251852851 1.2664801132 1.2161432079 3.2956369428 0.8270883975 0.6046509134 1.8899763214 0.4797496550 1.0792812259 1.0871228096 1.1082495452 0.5193551723
0.5825867481 1.9110778823 1.4755989107 1.0115401954 1.1076998507 1.0339914379 0.3299581069 1.0179641112 1.2322556943 0.7268355085 0.5795132058 2.3510206083 1.5947849147 0.2442797995 0.5197199171 1.0176220026 0.8023133619 1.2874800271 0.7839021143 1.0052895602 1.4457826974 1.4904267691 0.9690526088 1.0556807829 0.9376388774 1.6677284508 1.1363894876 0.4860664165 0.9166519125 0.9761498882 0.9163461659 0.2481418052
1.9426889522 1.2686088438 1.1208790038 1.0447807464 0.6893639128 1.4722075102 0.5814234262 1.0490270073 1.6296183316 0.9728593276 1.5382823511 0.6510830825 0.8144316220 0.7434014119 1.2662242479 0.7825756315 1.3849722890 1.3437042474 1.0149352417 0.6023748673 1.8291878252 1.1153304040 0.4725320816 0.5085023788 1.8111673137 0.3027450875 0.7845055546 0.0400599290 0.9937863313 1.0780889627 0.8498719485 0.4500466173
0.9583691827 1.3561022525 0.9874764254 1.8324680361 0.7619350184 1.9883785473 3.0941675689 0.9526231175 0.5176840408 1.9632184909 2.4812282839 1.8155978968 1.1698547585 0.1695961435 0.7459319119 0.9988857074 0.5853950738 0.3782191824 1.6774214195 2.2503059241 0.8469403206 1.7747263903 0.0338268331 3.4107064130 1.1917987145 1.9357360020 1.3863452158 0.7682967603 1.0070833857 1.0500383519 0.7045398083 0.4450982069
0.7523282850 1.0220837956 0.5509710512 1.3730330217 1.0685384257 0.7440342506 0.9545086163 0.9399927590 1.9038132435 0.5099859337 2.7745671244 0.8827606515 1.1287089727 0.4598491881 0.9890179619 1.4992740871 0.7430521372 0.7903234764 1.4653786802 4.1665507849 1.7547858858 0.7673558892 1.3471969970 3.2955777144 0.6874479589 2.4714579105 1.8894808901 0.9931280490 0.9777632126 1.0188904496 0.7451262497 0.9123355318
0.5217027667 1.3838573246 0.8700762120 0.8555387648 1.4358822325 1.1030965267 1.6764322282 1.0108219760 0.5361098008 1.7823124381 2.2909631177 0.0672089217 0.8780190693 1.7303721630 1.0152438344 1.2238431473 0.8107376358 1.5497203643 1.0884907061 4.3577319544 1.9085980181 1.2968525586 1.8168921660 2.7098058183 0.5205482849 0.4412984932 1.1917679173 1.9860405081 1.0745648165 1.0609875860 1.0844708898 0.2611032482
1.1343186571 1.0398999971 0.7826928839 1.9652798374 1.1943462701 0.7392241456 1.5636866763 0.8297858479 1.1230310575 0.7759004853 0.7429416726 0.2813179985 1.7032288737 0.6314904047 1.3978476992 2.0190827056 1.1672758618 0.5049129087 0.7359757075 1.2221800816 0.8574803983 1.0280968502 1.7283167485 1.9964667093 1.6532401524 2.1445181771 0.7363774220 1.7987937069 0.9861743920 1.0903304349 1.0094484364 0.3559836964
1.0254706059 0.6081098227 0.7832224417 1.4986310299 1.3346838904 0.9621261134 0.0397320805 0.7474203377 0.7034064539 1.5015921796 1.0343635315 0.6901940236 1.0154235329 0.2782455860 0.5421791030 0.5199731583 0.8733719179 1.6926594651 1.3581657047 6.3855367596 1.8984081735 1.0031924324 1.9990310970 3.8929229315 1.0130072950 2.0869096755 0.5238730031 0.7376585359 0.9368452762 1.0463578627 0.7650185820 0.4402481746
1.2939378449 1.0466133095 0.6385485974 0.9574035228 0.9821629377 1.7274374787 1.9138924736 0.9215472917 0.8218322177 1.1560013931 0.0206097285 1.0242995899 1.0488237899 0.0801526280 1.4972363745 0.8274419990 1.4042057439 1.0540591735 1.0640720089 1.2080343039 0.7513262325 1.2645065606 1.6135883557 0.2787647709 1.6380940090 0.9436449115 0.7227840644 1.4895264291 0.9215750747 0.9650456257 1.0410510036 0.7456666762
1.4931018003 1.5724954435 1.1799135118 1.9410732145 0.8277327081 0.7145376382 0.2767810903 0.9386460973 0.8998830175 0.9358627567 2.2516040698 1.2154753920 1.8828486564 0.0092248516 0.5498327106 1.1840966050 0.6883216459 1.1443224760 0.7805586874 7.1982833416 1.2762440501 1.7545017409 1.9482015534 3.7520151453 1.4046978005 1.5752866507 1.5093964441 0.4314479260 0.9881426712 0.9738046959 0.7267090379 0.0907227041
1.9201578691 1.9602782492 1.0288180360 1.8925948950 0.8610445349 1.7846207759 2.2723089382 1.0294817210 0.7348858033 0.9897723765 0.8108022312 0.7913902875 1.5040498396 0.3861390078 1.6384479848 1.5637023268 0.8207184306 1.1929328355 0.9842591258 1.0917272560 0.9218594078 1.2374687559 0.6699712707 3.2720087871 1.0012357418 1.9373732506 0.6329032197 1.6822322546 0.9999865403 1.0017423214 0.9929494634 0.2440541263
1.1474315645 0.6033089124 1.3011802115 0.8398119140 1.9841895211 1.5599036269 0.3179624455 0.7734111508 0.6327219846 1.7552891711 3.1892785608 2.0433804929 1.6785694637 1.5044995132 0.6093767788 2.0847336965 1.1551181599 1.9209144072 1.7609991668 5.6926032948 0.6154038267 1.5411547062 0.8015379285 3.0463121604 1.2541697021 1.8433526584 0.6197843697 1.2093757887 0.9170985298 1.0099132498 0.7073889025 0.1365060615
