alpha_io a_wl_io bio_hum_cn b_wl_io dcatch_dlai_io dqcrit_io dz0v_dh_io f0_io fd_io g_area_io g_root_io g_wood_io gs_nvg_io hw_sw_io kaps_roth knl_io lai_max_io lai_min_io lma_io n_inorg_turnover nmass_io nr_io retran_l_io retran_r_io r_grow_io rootd_ft_io sigl_io sorp tleaf_of_io tlow_io tupp_io l_vg_soil
1.431633003 1.310778267 1.640114023 1.399253659 1.166987467 1.056171483 2.095368012 0.876150389 1.121332423 0.898269042 1.228635315 1.586720792 1.230998175 1.429920888 1.479980945 1.790966115 0.965191601 1.410474284 1.439180499 5.484367748 1.570191329 1.300219780 0.991814462 2.613749574 0.942386765 1.695646402 1.173316491 1.380922965 0.970614158 0.984430544 1.047708233 0.405696396
0.975386676 1.073014923 1.317932151 1.584172540 1.586843979 1.239992290 2.371009352 0.964073370 0.988910760 1.744726802 1.185996901 0.936915309 1.273258721 0.854110164 1.455997313 2.316568674 0.931403104 1.502158048 1.150348259 3.475183570 1.307457238 0.929433987 1.152420872 2.792626199 1.271866440 1.178362094 0.876069944 1.068613619 0.995178326 1.025157376 0.833815506 0.390911822
1.025651060 1.343492116 1.438429467 1.056704316 1.196163237 1.615785633 2.133547751 0.927458175 1.038681738 0.720674143 1.280570984 1.356321210 1.370711732 1.000289685 1.891854321 1.553004793 1.005335156 0.905094200 1.328389933 5.940523702 1.654179744 1.639790268 1.420550854 2.979700530 1.459704539 1.503820270 1.633632902 1.159165925 1.033244466 0.965050430 0.922643890 0.624316465
0.822981705 1.252524943 1.315593265 1.503322254 1.071045811 0.997143793 2.044573839 0.965536434 0.951143550 0.843088794 1.395282052 1.235598769 0.999491857 1.013080597 1.173974692 1.941840004 0.724083548 1.054544523 1.215904879 3.006164028 1.362227459 1.430878860 0.880419655 3.326681230 0.596695915 1.338532781 1.497975031 1.074788449 1.047116714 1.004863510 0.950034721 0.253267167
0.905375120 1.813324133 1.253609983 1.563709316 1.057699286 1.447479800 0.510449281 0.857619421 1.110709976 1.605195047 1.835908224 0.742985836 1.438524807 1.284140911 1.609810437 1.696948892 0.951491113 2.422723398 1.355975524 3.503311135 1.490120358 1.477015571 1.416320878 1.506886934 1.471775608 1.607736037 1.217808534 0.944672624 1.016111615 0.996521298 0.807329515 0.722292730
1.379624870 0.748712754 1.433664425 1.341426087 0.920846236 1.885410209 1.864587863 0.945833116 0.922215435 1.455393893 1.120646602 1.522926657 1.496416823 1.182225756 1.385594506 1.587787765 1.038450302 1.151993075 1.363408512 6.086030859 1.172125420 0.964728338 1.025296236 2.675021196 1.222294546 1.803310349 1.024049196 1.025471697 1.081093135 1.029332934 0.968395391 0.554657319
1.528196162 1.734801048 1.391402678 1.369186024 1.226646532 1.890454793 1.052328454 0.881398870 1.436180500 1.324902497 1.707327244 1.699379540 1.325439693 0.133185447 1.369498382 1.710303609 1.089596959 1.221712217 1.304481068 3.383810350 0.984621346 1.450775826 1.273902413 4.083556311 1.688596855 2.225849186 0.891387588 0.647911286 0.965701462 0.985684799 0.872397776 0.571416738
1.375013657 0.884775172 1.066928511 1.643787004 1.490860800 1.177888285 1.095647748 0.925537540 1.691808212 0.922058210 1.934194609 1.572373163 1.061152506 1.834246708 1.628452885 1.288353474 0.865278888 1.124990071 0.994391082 5.881239767 1.038557084 1.138950018 0.872414706 1.608906791 1.313147003 1.775192861 1.477334204 0.216430639 1.035550696 1.031848241 1.064654583 0.440221425
1.456402600 1.459260787 1.716151075 1.677183879 1.248132401 1.304993607 1.340135915 1.025529443 1.408406501 0.856984319 0.631988080 0.590833109 1.520135475 1.578555268 1.127641397 0.908123433 1.178966900 1.969009203 1.410759251 5.730478455 0.538545421 1.161544296 0.766470063 4.125029907 1.566501350 1.445105532 1.277740999 1.288902116 0.990139838 1.014970499 0.856203159 0.491271516
1.492467128 1.325929045 1.461783902 1.003258805 1.367386481 0.793493977 0.829353147 0.993015694 1.664355676 1.527830653 2.071554258 1.989301929 1.531168612 1.059940450 1.242842616 1.322834695 0.978570335 1.612216587 1.159118431 8.336485349 0.941519701 1.135995959 1.032990743 2.449399134 1.204048491 2.276944177 1.027881506 1.553801436 0.983835897 1.028982926 1.051939362 0.470426766
1.158597703 1.032588541 1.448297367 1.081698869 1.282590627 1.292007741 1.584212278 1.020059043 1.444983671 1.448927256 1.116040232 1.714674990 1.827439445 0.761335818 0.957275369 1.605913771 0.917067320 0.408923392 1.230856810 3.069530482 1.666507169 1.017758263 1.594532769 1.498442669 0.889815573 1.236447454 1.858282324 0.800415793 0.996345185 0.948838272 0.946854676 0.849561867
1.355633461 1.465825571 1.240664884 1.291102856 1.272046769 1.122902285 1.749141803 0.791189646 1.128258283 1.202017469 0.984554839 0.494778554 1.769413648 0.283878565 1.722144550 1.999677089 0.834983645 0.832122581 1.463036021 5.222206487 1.030915228 1.597544337 0.692345566 3.213960269 1.347515958 0.741524488 1.094565047 1.335512847 1.000620530 0.963074264 0.952831851 0.476277949
1.233949653 0.953969745 1.454133208 1.456303103 1.089768014 0.615784566 2.078763577 0.843501279 0.804459211 1.042105467 1.831099099 2.013965363 1.565944316 1.815994680 1.343122977 1.390230005 1.015628297 1.482609802 1.288476583 9.213227237 1.837458673 1.096159374 1.441041532 3.034242081 1.537136728 0.565927541 0.989723258 0.524975958 1.051406137 0.992922611 0.805504799 0.053577344
1.242830506 1.060384111 1.265944019 1.611802055 1.188046320 1.265584261 1.804126295 0.960485618 1.175595022 1.553710801 1.428653249 1.210393496 0.993710708 0.936087288 1.149968257 1.460784578 0.962589394 2.362497679 1.791777587 5.385214042 1.023431668 1.330514423 1.743604239 0.934591483 1.139017884 0.888374990 1.850608400 1.745911359 0.915722409 0.983686993 0.719058355 0.669355826
1.750569134 1.650596764 1.130568882 1.276803313 1.112447634 1.534613953 2.903703561 0.955780055 0.974775066 1.403213778 1.506438524 1.810912395 1.639670823 1.616562386 0.685779323 1.496265347 1.011323452 2.544346657 1.038704995 5.426506894 1.123598008 0.832623626 0.901373429 0.597468418 1.005520880 0.511157100 1.355911387 1.619426500 1.002547886 1.063903636 0.975834618 0.617905169
0.951398774 1.388964640 1.358418402 1.256266058 1.765412423 0.864518406 2.698093618 1.088724475 0.794134639 1.600303663 0.868297499 1.293427074 1.574077190 0.780160003 1.268270862 1.338784090 0.686015013 1.644092701 0.834905348 4.935905602 0.890752986 1.200283222 0.954758756 2.069703634 1.521688858 1.576109876 1.184854776 0.613554748 1.060932691 1.009603630 0.940489705 0.758339871
1.898730084 1.219138714 0.879461290 1.271093619 1.253421189 0.710045820 0.873186429 0.766281589 0.915907857 1.625935583 2.709613139 1.262874950 1.137542970 1.505045878 1.111610906 0.920228294 1.046512048 1.840052870 1.311558092 7.027223566 1.675452173 1.089724814 1.323308480 4.373171395 1.045112792 2.106893747 1.531074013 1.208092759 0.985162630 0.977541287 0.958672219 0.174104297
1.485022694 0.768680276 0.832623575 0.971686090 1.299682741 1.649478623 1.700529225 0.924364108 1.576993488 1.808086850 2.686626322 0.608858721 1.069041699 0.816150658 1.710281734 1.674426194 1.152953574 1.459867819 1.542688682 7.318076167 0.692736177 0.545519348 1.006485107 0.985532402 0.964106453 1.107769751 1.407121920 0.316431405 0.964641820 1.082412448 1.056818554 0.664638995
