alpha_io a_wl_io bio_hum_cn b_wl_io dcatch_dlai_io dqcrit_io dz0v_dh_io f0_io fd_io g_area_io g_root_io g_wood_io gs_nvg_io hw_sw_io kaps_roth knl_io lai_max_io lai_min_io lma_io n_inorg_turnover nmass_io nr_io retran_l_io retran_r_io r_grow_io rootd_ft_io sigl_io sorp tleaf_of_io tlow_io tupp_io l_vg_soil
1.6155244808 1.1569638833 1.0160097022 1.5940436744 1.3742876380 1.2298260996 1.7591462876 0.9915060867 0.9545626070 1.3348954576 2.5928861496 1.8720613724 1.3022968591 1.5331956494 1.2263662403 1.3775683128 1.1566362996 1.9002928907 1.5692105695 3.6012802153 1.4507728484 1.3665078439 1.2659844067 1.8641399445 1.1821438847 1.2619370989 1.3954360191 1.4758067053 0.9741562726 1.0126189127 0.7880248342 0.5710091682
0.8411974425 0.9708620187 1.3105581153 1.3892667015 1.2420610658 1.7574316256 1.8689224945 0.9868838088 1.0252807611 1.6374824488 1.7814681542 1.0223193371 1.1426874099 1.0739066305 1.5020660945 1.7130893097 0.7381993506 1.3062129832 1.4357234783 5.4190312617 1.1628477524 0.9696039151 1.0758011738 2.8323016864 1.3558585991 0.9749858404 1.4297162228 0.9941305640 0.9600309295 0.9874666902 1.0121204743 0.6941929499
1.1579433193 1.3627060335 1.6976086291 1.4498382765 1.1226315285 1.2905994172 1.8329349349 0.8504776224 1.1491422065 1.2263008326 0.9868253998 0.6922548436 1.1551879423 1.0606613809 1.1370029628 0.8948941358 0.7737488621 2.3305854493 1.2958444577 2.7788191555 1.1206928178 1.1684209993 1.4777197598 3.2476318143 1.3252348980 1.7381298192 1.1638889412 1.0329690020 1.0173208211 0.9796486257 0.9569369921 0.5688742298
1.4716398766 1.1368440721 1.2351397233 1.0913994401 1.7958468735 0.9959625218 2.5141057310 0.9398064228 1.3636418954 1.1338923183 0.7141136400 1.5353786035 1.1522336807 0.9398533627 0.9758380827 1.8427740712 0.9908100323 1.5830733453 1.3027642638 4.6515941124 1.0691962968 1.5209768345 0.8407117675 3.5443595976 1.5680644301 1.4529940923 1.3598887379 0.9051415194 0.9637390747 1.0259571566 0.9269706162 0.0618726342
1.0050772159 1.5284561479 1.3581007730 0.9652171014 1.7017434359 0.9576837663 2.1019007243 0.8611361061 1.4924375091 1.0888746036 1.0240312534 1.4679394104 1.4599206914 0.9086640519 1.0853583287 0.9655159008 0.8495609156 1.6569914177 0.8042012870 6.2896450498 1.2618811306 1.3455765792 1.4625667610 1.3721254439 1.6613032415 1.3839083956 1.2573234897 0.5298038160 1.0661981415 1.0318440556 0.9311875876 0.3467561984
0.9931461272 1.3271276252 0.9569921073 1.7456935872 1.5459227089 1.1536257469 2.4187970744 0.9113354579 0.6829311921 1.7864428103 0.7306583727 1.1249005362 1.1841627644 1.1281927827 1.6464000348 0.9204101473 0.9993356296 1.6071683183 1.3862139144 4.3146823398 1.5155935786 1.2396777352 1.6107121508 2.2645919865 1.1879292885 1.2474259349 1.3795382585 1.5054336841 1.0608992206 1.0197194183 0.9109649452 0.4623718710
1.3974123030 1.4426708899 0.9197591981 0.9586039216 1.6221757600 1.0973062601 1.5496468867 1.0860135354 1.0940722382 1.2136602272 2.1447495575 1.7555357572 1.5819472326 1.4621651034 1.1345719642 1.6417813976 0.8552483075 1.1547775023 1.5575407921 8.2235587810 1.2942980248 1.4841688592 0.5947676795 3.3252470598 1.4038149058 1.2076125182 1.2603711872 0.4353657561 1.0190743009 1.0340242238 1.0011351590 0.3534661992
0.8007885786 1.2552679120 1.2707380312 1.1382462673 1.4762007218 1.3227923047 1.0108167618 0.8124656606 1.3531245010 1.7178588578 2.0723873821 1.2218530626 1.2881326427 1.3523137379 1.0802032905 1.6908072420 1.4051461946 2.2219827635 1.1699525821 4.9840839846 1.1075102959 1.5358977958 1.2253616422 1.3293973788 1.1685158262 1.1103515071 1.2066621999 1.4970413242 1.0282093411 0.9558688035 0.8284676331 0.5585846645
1.9454381805 1.6693190201 1.5917585737 1.3950632337 1.6733618701 0.8309002702 1.5946795643 0.9130321259 0.8302318915 0.8680435607 1.8802960559 1.2099322506 1.8260894560 0.6148264268 1.3613786775 1.8183755014 1.1353688853 1.0046349755 1.3142129911 5.4387564586 0.6430839896 1.1165926210 1.3941677286 3.6067296777 1.9049055703 1.0537928003 1.0697253185 0.7188832974 1.0040678538 1.0375287227 0.7940709368 0.3751303842
0.6935525216 1.6762752022 1.5537623494 1.3554660626 1.3118572835 1.0335277136 2.5473015648 0.9269456058 1.3830013959 1.4276536150 2.2500915945 1.7158837098 1.5901948442 0.7826242488 1.6831965463 1.0584586252 1.0641722507 1.0948328932 1.0934846317 5.9397681060 0.9239263628 1.4950142428 1.1119473084 2.6591318024 0.7540386135 0.6012929293 1.2281936162 0.7928305407 1.0388130089 0.9667300997 0.9996756790 0.6498756419
1.8521603798 1.1306863067 1.4669001071 1.2528791257 1.1199026553 1.4211717140 1.3485820897 0.9958782369 0.9418416905 0.9939530353 0.4216867078 1.6534841564 1.1476966559 0.8294538204 1.7758870455 2.0808099593 1.1783157761 1.7398519172 1.0866505975 3.8125141537 1.0158125179 1.6664113091 0.9506714813 2.9907290936 1.0159554995 1.2726126267 1.6293101951 1.0344447097 0.9473606901 1.0437593372 0.9361936554 0.3803323611
1.2998332737 1.4764050311 1.0771711268 1.5217234847 1.5512938912 1.2457365759 1.4630987332 0.9235276576 1.7855037857 1.2410835357 0.6932600175 1.5900252577 0.8928483680 0.9026041114 1.0704193224 1.5596787058 0.7820415708 2.3113682851 0.7845155137 3.3165747560 0.8595137184 1.7628078494 0.6675175391 1.1068614216 1.4385768302 1.9072038200 0.9346575834 0.9520813468 0.9932901060 1.0704783098 0.9059230006 0.3641612653
0.8995518373 1.1487681987 1.7863250724 1.0212456534 1.3424042683 1.3405147119 1.6231384255 0.7629624424 1.4560384211 1.4991455007 2.4788273319 0.8914687352 1.3671489003 0.6343571973 0.9804725328 1.7354433217 0.9286809555 1.1300665626 1.2241401543 7.2836672998 1.3446861020 1.4656601866 1.5676245199 3.9280482082 1.1286817101 2.4666451786 1.1370411038 1.0140128723 0.9684981935 1.0282920128 0.9709425708 0.5526557566
0.9459249971 1.1151591260 1.2031763478 1.5885321844 1.4096348136 1.3335681437 0.6386510724 0.8065480435 1.2144141973 1.4476308290 2.3000873508 0.7917445869 1.3156672950 0.6816458371 0.7855950874 1.4598641598 0.6912063720 1.0728608094 0.7785061223 5.3341679645 0.9461531319 1.5346740356 0.7302433623 1.4545319400 1.1413414596 0.8706414153 1.2824030077 1.5964095038 0.9754424947 0.9560890678 0.8566258521 0.3340581928
1.1913650343 1.0267324916 1.3235205461 1.1652506477 1.0706681390 1.2245428557 0.9846799024 0.8173655935 0.5723239058 1.1509197961 2.3973562176 1.0948567120 1.4104274957 0.5290116382 0.9505264709 1.2285106745 0.9169714760 2.5519182297 1.2168672193 4.1335978891 1.6258853195 1.4350696463 1.0380175419 3.6482278410 0.9048040392 1.1838874063 1.1259302089 0.8978206340 1.0136087341 1.0288647258 0.7813528748 0.5315608092
1.3565016843 1.4286985948 0.9721306316 1.2665797024 1.2098058215 1.9385868653 1.7469758576 0.8885834095 1.6302344185 1.4718593645 2.0629093019 0.9632209454 1.3702219372 0.6469761522 1.1709721902 1.4955244823 0.6319495207 2.0980770053 1.0611995667 3.7133036212 1.4738336289 1.4587308926 1.1641458532 2.3601412682 1.9559183281 0.9582272212 0.9109553698 0.5599910887 1.0407005046 0.9940866895 0.9459532410 0.6890274467
0.7410339668 1.4811896987 1.2150818075 1.0997828718 0.8052805296 1.3497734360 1.2966028445 0.9494712694 1.7674699972 0.9675598918 1.7587624060 1.8911871507 1.0774497138 0.5957319081 1.3463836526 1.7636808333 0.7080006862 1.4887009884 0.9243903832 7.2311512249 1.5050359924 0.6702707520 0.9357669587 2.5060405604 1.4870494956 1.5023234936 1.1008810210 1.0614127110 1.0694248910 1.0836376078 0.7738726242 0.5203367679
1.3260595895 0.8508904081 1.5015596832 1.3442286268 0.9867517873 1.2574260637 0.8304942616 1.0757822419 1.1022043986 1.5150652997 0.7076088123 1.3187730821 1.2061278558 1.3886617108 1.0792816023 2.0342105032 1.2171840203 0.9249678252 1.2038329105 5.1708376301 1.8962498368 1.0345769160 1.1308907933 2.2432412651 1.1534106473 1.1258481056 1.4587422982 0.5901286667 1.0423936988 0.9401416026 0.8940609222 0.6619688514
0.8136404267 1.4520037152 1.1217606166 0.8918514107 1.6662665626 1.6367750733 2.4434989045 0.8136663933 1.2682833119 0.8570426913 2.2157577155 0.7686821239 0.9809084645 1.3248065205 1.5910913096 1.9915442919 0.9509565101 0.6611148506 1.1238878806 3.9317558983 1.1253007637 1.5198352570 0.9174290341 2.8914780566 1.4829457706 1.3186470249 1.3098912560 1.3438853559 0.9972373164 1.0183935185 0.7837694651 0.6412699610
1.1103660543 1.0873485573 1.0841055185 1.4698379979 1.9249506327 1.3557047367 1.2852922014 0.9552210094 1.3367695716 1.7665205836 2.0947873802 1.1437958568 1.2927729436 1.2913095687 0.6069031407 1.3518934392 1.3153309464 1.0551362954 0.5896425888 5.9126746507 0.8799143732 1.2095883674 1.2916730486 2.0659062695 0.8660487876 1.1158945674 1.3822752195 0.4837187550 0.9838220274 1.0573349688 1.0137846044 0.4480736527
1.1729688555 1.6351926206 1.2862315039 1.4599557819 1.5078939176 1.1034050722 1.6481861546 0.9969194037 1.3161062960 1.8724182525 2.1039542339 1.3764011843 1.5321929337 0.6122731909 1.1484809032 1.3164549107 1.0064974284 2.2687877625 1.3737524845 3.5343764519 0.9904699967 1.7286038390 1.1790552258 4.1829802346 1.5177938013 1.5779350921 1.4212537257 1.3163119054 0.9498066700 1.0664613059 1.0532420993 0.2840599414
1.3777157244 1.5200382586 1.0584975060 0.9357184955 1.0091056253 1.4678483946 1.2474736923 0.9075070753 0.7392718216 0.8033987236 1.2731238627 1.8502877756 1.7899409644 1.4321564091 1.6293852662 1.0748710533 0.7660234366 1.2439506790 1.7930929758 6.6799031371 0.7632146305 1.6849521032 1.0930840318 2.5449401888 0.8469487231 0.6245141113 1.4332956221 1.3007240061 1.0310132204 1.0139053840 0.8958059200 0.5065649047
1.4828085613 1.1923933734 1.9622014963 1.1969083147 1.6060524316 1.3951041375 2.5231012927 0.9898413530 0.9841583907 1.6547030782 0.6337246073 1.0314661682 1.1976953925 0.9281204309 1.4164038957 1.8713411416 0.7464623114 1.8374642603 1.3508028215 2.2571767892 1.8455928382 1.2122493873 1.3565668012 1.1367279737 1.8761336363 0.6843797561 1.2037953019 1.3588576298 0.9686855046 1.0250688948 0.8965834949 0.3406874999
1.5447777621 0.8790042121 1.7289525781 1.6380669027 1.1869204254 1.2197041631 2.2241191770 0.9579952469 0.8790744930 0.7976525797 2.7186572947 2.0476334637 1.3318237143 1.2322722135 1.1512122940 1.2981845431 1.0455455076 0.9820374248 1.6030460316 4.3592923361 1.5110099441 0.9341989718 0.8583250646 3.5043198680 1.6661537787 1.7447400090 1.6916809027 0.9141887255 0.9879441274 1.0215848621 0.8196665295 0.5470631313
1.5902118476 1.5199171094 1.2054076776 1.5653301793 1.3235671932 1.1689992799 1.4249349719 0.9782563768 1.0639247382 1.5520792903 0.4584885951 1.4357019911 1.7786728179 0.8981147172 0.9434575903 2.2195457925 1.0599740206 2.0648904750 0.9087962521 8.7414747855 0.9566231080 0.9202331909 0.1308178699 3.2824006810 1.0769658613 1.8489782692 0.9503588259 0.5751740593 0.9337646882 1.0236304693 0.8843715379 0.5019207889
1.0285762003 1.3563915165 0.8550511173 1.4363437553 1.3875933566 1.6080431852 2.1589486399 1.0707583304 1.9577407623 1.0050160549 2.2687672604 0.6908010594 1.3292338088 1.5252418197 1.2660855481 0.9900826680 0.9805380549 0.6096932830 1.0428148590 6.4751127133 1.4606265842 1.3929747371 0.7612686209 3.8505946437 1.3477215554 1.2202447550 0.6686341482 1.8433237337 0.9827343890 0.9380930739 0.8708976606 0.7569470215
1.4100005035 1.9378942850 1.1977786373 1.0603592261 0.9491129812 1.7977546149 0.9699448830 0.9993212960 0.9598927748 1.2821746324 1.7095129156 1.5177326782 0.8680275762 1.0142043137 1.4931282040 1.1009695936 1.1722888901 1.7580267180 1.1316066487 3.7897298332 0.8013864931 1.4947364173 0.5494331522 3.1850606060 1.8164654595 1.5939120928 1.0265287957 1.2784462840 1.0824027444 1.0680402516 0.9411676378 0.3593280478
1.4226382230 1.2964071788 0.7895760033 0.8651293915 1.5261649506 1.4281861309 2.2564202266 1.0519147767 1.3909328821 1.3551918983 0.7501702939 1.2562918190 1.4739135183 0.9533257391 1.1283154133 1.2446342558 1.0761454339 2.3586427747 0.9044028689 6.2395666524 1.6124213540 0.6858602028 1.3626263584 0.8982381477 0.7008962157 0.5542936049 1.0551363326 0.8353985633 1.0324144198 1.0023851804 0.7473626174 0.6902331554
1.3307298180 1.4390897254 1.5476767945 1.8347511839 1.9018084241 1.1271992284 0.6980147037 0.9320379892 1.5616474953 1.1407302093 1.0015244272 0.0702424722 1.2405612705 1.4767016156 1.0982845258 1.9074206248 1.1439474609 1.9289690112 1.2379745968 2.9860920939 1.1465246146 1.7496500828 0.2084791086 1.4879952191 1.7139900956 1.6290744433 1.2232981671 0.8930058329 0.9894529370 0.9472725838 0.8516308457 0.3112328123
1.0730925394 1.2270610154 1.0939704704 1.5584413200 1.7132991463 1.1648334761 2.4350829094 0.7898950190 1.4024796189 1.4042767562 2.4338947078 1.4913395090 0.8556622616 0.3730732973 1.5888614991 1.6817186109 0.6953901854 1.6025105826 0.7643612653 7.5867409804 1.3567442039 0.8877642509 0.8371832533 3.6330726258 1.8594750832 1.8024576515 1.5065134078 0.3991921643 0.9840186612 0.9593157242 0.7718525097 0.1287199985
1.2045235846 1.2089413048 0.9434035873 1.0629820448 1.6592891994 1.3021880044 1.5208718681 0.9302055180 1.2906860253 1.0442237969 2.6888615432 0.1998077768 1.7493223709 1.3577622214 1.6055770132 1.1592506452 1.2502691368 1.7983101791 1.6836207763 4.7264144900 0.8309621816 1.2739437987 0.1911142596 4.0391990662 0.7159174053 0.6518270334 1.8237614543 0.6052736542 1.0524714763 1.0150713331 0.9168484408 0.7851471479
1.1204524483 1.1888539428 0.9394799409 0.8729597334 0.8437461927 1.6579263705 1.3348424323 0.9040038613 0.9719817466 1.9287151470 0.7964583658 1.2486580259 1.3224296933 1.6945085139 0.7376062951 1.1678256166 0.8873869491 1.8621633075 1.4424736115 5.1423379153 0.8283694924 0.9728553887 1.7074598785 4.2236790772 0.9640683567 1.1719953156 0.8059337969 0.4449430428 1.0260634225 1.0229961450 1.0701376338 0.2753539737
1.0389919167 0.7668495975 0.8945350413 1.4083263130 0.7046336127 1.6429393430 0.3074520810 0.8375569679 1.2780530720 1.5106444977 0.9211161623 1.6037252751 0.9927508178 0.4994351976 0.9149760634 1.2480359419 1.2900745813 1.0114525721 1.5758493931 5.2886348242 1.0121964350 0.9160239768 1.1513955491 2.9072664721 1.5783611188 2.2821473612 1.5580134924 0.8314352549 0.9798159634 0.9601955534 0.9402105074 0.4982564902
1.3210663399 1.7912792376 1.4155973324 1.6411985612 1.0256254670 0.7595305098 2.2081621527 0.8571357711 1.5042913927 0.9288206166 0.1912179658 0.6119817444 1.0552882968 0.5718974975 0.7976036190 0.6353771672 0.8144535223 2.1160063213 1.2436952822 7.0342418416 1.2597679033 1.6448984284 1.3171362410 0.5457976830 1.8672202882 2.3046877129 0.8025131570 1.5357113200 0.9816237902 0.9540748074 0.9153989866 0.2065256675
1.6692626469 1.5566922750 1.9225884450 1.2170783197 1.1960992894 0.9454794784 1.4499366608 0.7935773524 0.8359297179 1.5317325426 3.3252519679 1.0722462136 1.5247750907 1.4722921249 1.5222331008 1.1646420951 1.0934441226 1.4392443152 1.4826302740 0.2468912689 0.8452598153 0.9912470446 1.6191396205 2.9815976321 1.4337410474 1.4447555063 1.3523451588 1.9397322622 0.9571720207 0.9732199322 1.0558354868 0.6641161137
